리뷰일,앱이름,별점,사용자 리뷰,회사 응답
2025-12-25,공모주일정,5.0,요 앱이 얼마나 유용한지는 써보고 실제 활용해 보면 알게 됩니다. 설치한지 1년이 넘었지만 아직도 잘 쓰고 있는 유일한 앱이되었네요.,회사 응답 없음
2025-12-21,공모주일정,5.0,설치해서 사용하다보니 이 앱이야 말로 제 인생에서 가장 필요한 앱이었다는걸 알게 되었네요. 이거 열씸히 잘 활용하고 계신분들은 제가 무슨 얘기하는지 알겁니다. 정말 유용한 앱입니다.,회사 응답 없음
2025-12-21,공모주일정,1.0,광고가 너무길다,회사 응답 없음
2025-12-16,공모주일정,4.0,이거 유료버전은 없나요?,회사 응답 없음
2025-12-05,공모주일정,5.0,돈버는앱,회사 응답 없음
2025-11-18,공모주일정,5.0,앱이 무슨 버그가 있다면서 자꾸 꺼져요,안녕하세요. 내부적으로 점검해보았으나 별다른 이상은 찾질 못했어요. 혹여 증상이 계속된다면 공모주 아이콘을 길게(롱) 클릭하시고 팝업된 메뉴창 상단 오른쪽 느낌표 클릭 후 저장공간 &gt; 캐시삭제 &gt; 데이터삭제 메뉴를 차례대로 진행 한 후 다시 실행하여 확인을 부탁드려요.
2025-11-10,공모주일정,4.0,갑자기 버그 발생으로 튕겨나오에요,안녕하세요. 확인해보니 데이터 한부분이 잘못 입력되어 튕김 현상이 있었네요. 현재는 데이터를 정상화 하였으니 다시 실행하여 확인을 부탁드려요. 사용에 불편을 드려 죄송해요.
2025-10-20,공모주일정,5.0,좋아요 굿잡,회사 응답 없음
2025-09-11,공모주일정,3.0,광고가 너무 길어요. 광고 안 나오는 유료앱도 있으면 좋겠어요,회사 응답 없음
2025-08-13,공모주일정,5.0,업뎃 이후에 남은 알람취소가 한번에 안되서 아쉽습니다!다시 넣어주세요 ㅠ 배정 못받은 공모주는 알람취소로 구분해놨었거든요 .. 아니면 배정 못받은 주식을 구분해놓을수있는 뭔가가 있으면 좋겠어요!,"공모완료시에도 알람취소(알람설정) 될 수 있도록 조치하였으며, 추가로 배정기록 버튼을 통해 배정 받은 주수를 기록하고 목록에서도 이를 표시할 수 있도록 업데이트를 하였으니 최신버전으로 업데이트하시에 사용을 부탁드려요. 의견 남겨 주셔서 진심으로 감사드려요. 꾸벅"
2025-08-13,공모주일정,5.0,"꾸준히 잘 사용하고 있었는데, 얼마전부터 알람설정이 사라졌습니다. 예전부터 공모주청약 신청하고 배정이 되면 알람설정을 해두었는데, 지금은 배정받고 알람설정을 하려고 하면 아이콘이 없어져있습니다. 청약 전 종목에 대해서는 알람설정 아이콘이 있구요. 상장일 전까지는 알람설정을 할 수 있도록 해주시면 좋겠습니다.",공모완료시에도 알람설정(알람취소) 할 수 있도록 조치하였습니다. 추가로 배정기록 버튼을 통해 배정 받은 주수를 기록하고 목록에서도 이를 표시할 수 있도록 신규 기능도 추가되었으니 최신버전으로 업데이트하시에 사용을 부탁드려요. 의견 남겨 주셔서 진심으로 감사드려요. 꾸벅
2025-08-13,공모주일정,1.0,광고땜에 사용불가,회사 응답 없음
2025-07-03,공모주일정,1.0,광고 드럽게 많네 알림도 지멋대로 울림,회사 응답 없음
2025-06-13,공모주일정,5.0,다 좋은데 얼마 전부터 스케줄과 맞지 않게 알림 메시지가 뜹니다. 1주일 차이가 있는거 같은데 오류 수정 부탁드립니다.,회사 응답 없음
2025-06-10,공모주일정,5.0,내 인생 도우미,회사 응답 없음
2025-06-08,공모주일정,5.0,일정보기가 참 편해요.,회사 응답 없음
2025-06-02,공모주일정,5.0,공모 상장때마다 잘 참고하고 있어요.,회사 응답 없음
2025-04-10,공모주일정,1.0,광고가 너무 깁니다,회사 응답 없음
2025-04-03,공모주일정,1.0,광고 쩐다. 알람도 안오고 어플 실행해야 알람 울림. 글고 너무 조잡해요.,회사 응답 없음
2024-12-11,공모주일정,5.0,공모주 일정을 자주 체크해야했는데 앱을 설치해서 사용하니 너무 쉽게 일정을 확인 할 수 있어 좋았네요.,회사 응답 없음
2024-11-15,공모주일정,5.0,공모주 홧팅합시다.,회사 응답 없음
2024-11-05,공모주일정,5.0,더본은 믿어 봅니다.ㅎ,회사 응답 없음
2024-11-01,공모주일정,5.0,예전처럼 분위기 좋아졌음 좋겠네요.,회사 응답 없음
2024-10-29,공모주일정,5.0,하루하루 보는 재미가 솔솔하네유,회사 응답 없음
2024-10-22,공모주일정,5.0,소소하지만 공모주 분위기는 좋아지는거 같넉요.,회사 응답 없음
2024-10-01,공모주일정,1.0,광고가 떠서 이젠 떠납니다.,회사 응답 없음
2024-09-20,공모주일정,5.0,화면도 빠르고 사용하기도 편함. 유용하기가 그지없음.,회사 응답 없음
2024-09-17,공모주일정,5.0,추석 끝나면 분위기 좋아지면 좋겠어요.,회사 응답 없음
2024-09-14,공모주일정,5.0,공모주 일정체크 용도로 제격이네요.,회사 응답 없음
2024-09-13,공모주일정,5.0,말이필요없네유.,회사 응답 없음
2024-09-11,공모주일정,5.0,공모주만 십년넘게 진행한 사람입니다. 이 앱은 저같은 사람에게 필수템이네요.,회사 응답 없음
2024-09-09,공모주일정,5.0,이번주엔 더 자주 들어와야겠네요. 이주도 좋은 결과가 생겼으면 너무 좋겠네요.,회사 응답 없음
2024-09-05,공모주일정,5.0,작년보단 그래도 올해가 좋긴하네요. 최근 좀 식긴했지만요.,회사 응답 없음
2024-09-04,공모주일정,5.0,다음주부터 공모가 다수 보이네요. 심심했는데 매일 한번씩 보면서 재미를 느끼고 있었거든요.,회사 응답 없음
2024-09-03,공모주일정,5.0,이번달은 공모가 많아서 심심하지 않을것 같아요. 매일한번씩 들여다보는 앱이네요.,회사 응답 없음
2024-08-31,공모주일정,5.0,사용한지 꽤 오래됐는데 서비스 안 끊기고 좋음.,회사 응답 없음
2024-08-30,공모주일정,5.0,다음달은 공모주 좋은거라 기대해 봅니다.,회사 응답 없음
2024-08-29,공모주일정,5.0,9월은 많이 기대되는 달이네요. 관심을 계속 가지도록 해야겠네요.,회사 응답 없음
2024-08-13,공모주일정,5.0,공모주와관련해서는이거만한게없어요.,회사 응답 없음
2024-08-11,공모주일정,5.0,이것만큼 공모주에 유익한 어플은 없는거 같아요.,회사 응답 없음
2024-08-06,공모주일정,5.0,주식시장이 좀 어지럽지만 공모주는 꾸준히 해볼만 합니다.,회사 응답 없음
2024-07-27,공모주일정,5.0,오 이번주에도 상장하는게 있어서 가끔씩켜서 확인해 봐야겠네요.,회사 응답 없음
2024-07-24,공모주일정,5.0,오우 내가 원하는 공모주만 달력에 표시해 주는 기능이 최고임. 내가 꼭 필요했던 기늣였음.,회사 응답 없음
2024-07-23,공모주일정,5.0,오늘도 공모했어요. 대박나라~,회사 응답 없음
2024-07-22,공모주일정,5.0,여러개 참여하면 나중에 헛갈렸는데 참여표시 기능이 생겨서 너무 좋네요. 개발자님도 분명 공모주 많이 하시는분이 틀림없다~,회사 응답 없음
2024-07-18,공모주일정,5.0,올해는 공모주로 수익이 좋네요. 초보들도 쉽게 이해할 수 있게 구성되서 좋습니다.,회사 응답 없음
2024-07-17,공모주일정,5.0,요즘 공모주가 잘 힘을 못 쓰는것 같은데.. 그래도 또 분위기야 언제든 바뀔 수 있으니 계속 지켜보고 있어야겠네요.,회사 응답 없음
2024-07-17,공모주일정,3.0,편리하기는 하나 광고가 길어서 패쓰ㅡ삭제,회사 응답 없음
2024-07-04,공모주일정,5.0,유익하네요. 공모주 하는데 도움이 참 많이 되네요.,회사 응답 없음
2024-07-03,공모주일정,3.0,알람만 믿고서 일정변경 알람이 업데이트 되지 않아 놓쳤네요... 변졍된 일정 알람 업데이트 방법이 있나요?,회사 응답 없음
2024-07-02,공모주일정,5.0,내가 진행하고있는 공모주만 추려서 볼 수 있는점이 가장 맘에 드네여~,회사 응답 없음
2024-05-02,공모주일정,5.0,완존 유용성이 최고네요. 앞으로도 계속 잘 쓰도록 하겠습니다.,회사 응답 없음
2024-04-13,공모주일정,5.0,공모주앱을 오랫동안 쓰다보니 여러방면으로 활용하고 있어요. 꼭 공모주가 아니더라도 실권주 일정도 볼 수 있고 그외 시장지표를 금방 볼 수 있어서 이런 여러기능들이 활용성을 높이는것 같습니다.,회사 응답 없음
2024-04-12,공모주일정,5.0,100점,회사 응답 없음
2024-04-10,공모주일정,5.0,궁금해서 설치해 봅니다. 좋은 경험이었으면 좋겠네요.,회사 응답 없음
2024-04-08,공모주일정,5.0,이번주는 총선 때문인지 일정이 거의 비웠네요. 틈틍히 일정체크하고 계획하는 재미도 있었는데 이번주는 일에만 집중해야 겠네요.,회사 응답 없음
2024-04-07,공모주일정,5.0,유용성이 최고에요.,회사 응답 없음
2024-04-04,공모주일정,5.0,그동안 공모주 일정을 수첩에 손으로 필기하며 관리해 왔었는데요. 이제 따로 정리해 놓치 않아도 되게되어 편해졌어요. 거기에 평단을 관리할 수 있어 나중에 히스토리를 볼 수 있어서 좋았습니다.,회사 응답 없음
2024-04-03,공모주일정,5.0,지난달에 4번 공모에 참여해서 모두 잘 되어서 좋았는데요 이번달도 출발이 상큼하니 좋습니다. 이번달도 지난달도 좋긴했지만 더 좋길 기원해 봅니다.,회사 응답 없음
2024-04-02,공모주일정,5.0,전에만해도 스팩은 인기가 없었고 수익도 별로 안났던 기억이었는데 요즘에는 스팩도 분위기가 너무 좋아진거 같아요. 경쟁률도 높고 지켜보기 재미도 있고 그렀네요.,회사 응답 없음
2024-04-01,공모주일정,5.0,제가 공모주에 관심을 가지고 계속 투자하고 있었는데요. 이런 앱이 있는 줄 오늘에야 알았네요. 매번 PC 에서만 일정과 정보를 찾아왔었는데 폰으로 볼 수 있으니 편하게 진행할 수 있게 되었네요.,회사 응답 없음
2024-03-31,공모주일정,5.0,너므 조아요. 많이 배울 수 있어 좋았네요.,회사 응답 없음
2024-03-30,공모주일정,5.0,이번달에 우리회사 공모가 있어서 바로 설치하고 사용하고 있어요. 몇 주 사용해보니 비슷한 성격의 앱 중에 이게 가장 사용성과 횔용도가 높아보이네요.,회사 응답 없음
2024-03-29,공모주일정,5.0,올해는 공모주가 많아서 심심하지 않은것 같아요. 매년 올해만 같으면 좋겠네요.,회사 응답 없음
2024-03-27,공모주일정,5.0,요즘 스팩주 집중 공모하고 있었는데 오늘도 재미가 솔솔했네요. 스팩 화이팅입니다.,회사 응답 없음
2024-03-26,공모주일정,5.0,한달동안 사용해보고 후기를 남깁니다. 일단 공모주와 관련해서는 이 앱하나로도 정보를 얻는데 충분해 보였습니다. 솔직히 관련 앱을 몇개를 설치했지만 이것만 쓰게 되네요. 솔직 후기였습니다.,회사 응답 없음
2024-03-25,공모주일정,5.0,내일 상장하는데 따따블되길 바래봅니다.,회사 응답 없음
2024-03-23,공모주일정,5.0,굿~♡♡♡,회사 응답 없음
2024-03-22,공모주일정,5.0,느므좋은거 가터요. 왜냐면 그냥 첫 화면에서 오늘의 이벤트가 있는 공모건이 자동 포커스되서 바로 사용할 수 있거든요. 그리고 달력에도 표시해주니 월초에 계획을 잡기가 수월합니다.,회사 응답 없음
2024-03-21,공모주일정,5.0,2020년도부터 공모주를 시작하면서 이 앱을 설치했고 여태까지 잘 쓰고 있는 사용자입니다. 오랫동안 공짜로 잘 쓰고 있는데 이리 글이라도 남겨야 할까? 싶어 이렇게 남기고 가네요. 좋은 앱 감사합니다.,회사 응답 없음
2024-03-20,공모주일정,5.0,오늘은 공모주가 없어서 심심하네요. 공모할게 있어서 해당 기업도 알아보고 어캐 해야할지 결정하고 이후 계획을 세우게되는데 그런게 생각보다 재밌거든요.,회사 응답 없음
2024-03-19,공모주일정,5.0,스팩주도 일반주도 다 일정이 제공되서 유익하게 사용하고 있습니다. 스팩주로 한번 대박을 얻어맞고는 이후 계속 관심을 가지고 참여하게 되었네요.,회사 응답 없음
2024-03-18,공모주일정,5.0,요즘 스팩주들이 보살님들이네요. 오늘도 스팩이 진행되어 당연히 참여하게 되었네요. 스팩주 이 분위기 그대로 유지되길 기도 뿜뿜해봅니다. 모두들 권승하시길..,회사 응답 없음
2024-03-17,공모주일정,5.0,무료로 쓸 수 있어서 고게 마음에 들고 기능도 대빵 많아서 써보는 재미가 있었어요. 지금처럼 계속 공짜로 쓸 수 있음 좋겠어요.,회사 응답 없음
2024-03-15,공모주일정,5.0,공모주 할지 모르는 사람들이 처음 시작할때도 도움이 되네요. 제가 그랬거든요. 그래도 이 앱 덕분에 지금은 대부분 이해하면서 공모에 참여하게 되었습니다.,회사 응답 없음
2024-03-14,공모주일정,5.0,오호라 매일 캘런더에 추가해서 확인하면서 공모에 참여했는데 이젠 그럴 필요가 없어졌네요. 그리고 개인 생각을 말해보자면 별의별 재테크를 다 해봤지만 경험상 공모주가 최고라고 생각되네요.,회사 응답 없음
2024-03-12,공모주일정,5.0,3월에 공모주가 쫌 있어서 재밌을거 같은데 4월에 별로 공모가 없어 보이네요. 4월엔 좀 심심한 달이 될거 같아 아쉽긴하네요. 대박 공모주 왕창 나왔으면 좋겠습니다^^,회사 응답 없음
2024-03-11,공모주일정,5.0,정보가 많고 기능도 많고 이라저래 쓸데가 많은것 같습니다. 아직 써본지 얼마되지 않아서 좀 더 써보고 다시 후기 남겨보도록 하겠습니다.,회사 응답 없음
2024-03-09,공모주일정,5.0,이 공모주 어플 사용한지 어언 3년은 넘어가네요. 꽤 오래시간 써오면서 많은 도움을 받았지만 리뷰하나도 남기지 못한게 마음에 걸려서 이렇게 별쥠 다섯개 드리고 갑니다.,회사 응답 없음
2024-03-07,공모주일정,5.0,공모한 결과가 좋아 기분이 좋네요. 공모투자전엔 꼭 참고하긴 했는데 최근엔 한번도 손해본적없이 연전연승이네요. 투자자들에게 그래서 추천해 드리고 싶어요.,회사 응답 없음
2024-03-04,공모주일정,5.0,공모주 일정을 리스트로 보거나 달력으로 볼 수 있어서 하루에 한번정도는 띄워서 일정을 참고하고 있네요. 특히 달력에서 스팩주를 제외하거나 포함 할 수 있는게 좋더군요. 저는 스팩은 최근에나 관심이 있었지 그동안 투자하지 않아서 불필요하게 느껴진적이 있어서요.,회사 응답 없음
2024-03-01,공모주일정,5.0,3월내내 공모가 골고루 있어서 3윌에 자주 들러가야겠네요. 유용한 정보가 제공되어 잘 쓰고 있네요.,회사 응답 없음
2024-02-25,공모주일정,5.0,다음주에 기대되는 공모주가 있어 자주 열어보게 되네요 유익한 계산기들이 즐비해서 공모주 일정보는 외로도 자주 사용하게 됩니다.,회사 응답 없음
2024-02-17,공모주일정,3.0,간만에오니 광고영상 생긴게 너무불편하네요. 유료제거도 좋으니 고려좀해주세요.,회사 응답 없음
2024-02-12,공모주일정,5.0,설때 친척들에게 전파 많이했네요. 이거 하나면 공모주를 배우고 시작할 수 있으니까요. 좋은 앱입니다.,회사 응답 없음
2024-02-02,공모주일정,5.0,놀랄정도로 도움이 되는 앱이네요.,회사 응답 없음
2024-01-25,공모주일정,4.0,너무 잘 사용하고 있습니다. 개발에 감사드립니다. 다만 어떤 광고는 x나 넘어가는 버튼이 안나오는 경우가 있습니다. 다시 껐다 켜야하는데 이런 광고는 관리 부탁드리겠습니다.,회사 응답 없음
2023-12-04,공모주일정,5.0,"공모주 참여할지 결정하기전, 참여를 결정하고 나서 체크해야할 것들 그리고 필요한 많은 계산기들이 제공되고, 실제 공모 후 기록들 남기거나 공모관련 달력들을 모두 볼 수 있는 앱입니다. 한달 써본 유저로서 사용후기 남기니 참고들 하셔서ㅈ사용해 보세요. 개인적으로 강추합니다.",사용기를 좋게 써주셔서 진심으로 감사드려요. 계속 발전하도록 노력하겠습니다. 꾸벅
2023-12-03,공모주일정,5.0,유용하니 도움됩니다.굿~,좋은 평점 남겨 주셔서 진심으로 감사드려요. 꾸벅
2023-12-02,공모주일정,5.0,오랫동안 쓰던 폰을 새거로 바꾸고 새로 설치했는데 와우 제가 원했던 기능들이 추가 되어 있어 놀랬네요. 특히 청약했던 기록과 팔았던 기록까지 남길 수 있게되어 얼마쯤 이득이 생겼는지 나중에 다시 볼 수 있게된거와 달력으로 일정을 모두 볼 수 있게된게 진짜 좋습니다. 무궁한 개선에 잘 쓰도록 하겠습니다!,만족하게 사용하시고 계시다니 다행이네요. 계속 발전해 나가도록 노력하겠습니다. 좋은 리뷰 남겨 주셔서 감사드려요. 꾸벅
2023-10-25,공모주일정,1.0,광고가 너무김 삭제,회사 응답 없음
2023-10-23,공모주일정,5.0,달력으로 필요한 공모일정만 간단히 보고 싶은데 불편함. --------------- 추가 ) 업데이트로 반영해주셨네요. 한눈에 일정 보기 편합니다.,안녕하세요. 달력으로 공모주 일정보기 기능이 추가된 새로운 버전이 업데이트 되었으니 최신버전으로 업데이트하시어 사용을 부탁드려요.
2023-10-17,공모주일정,1.0,개같은 1분짜리 강제광고때문에 지움 알림삭제하면 강제로 튕기게 하고 다시 1분광고 봐야됨,회사 응답 없음
2023-09-20,공모주일정,1.0,앱 접속시 초반에 나오는 광고를 건너뛰기 하지 못함. 그 광고가 생각보다 길어서 접속할때마다 기다려야하는건 안좋네요.. 삭제합니다..,회사 응답 없음
2023-09-19,공모주일정,5.0,이번주 공모주가 엄청 많네요. 잘 참고하도록 하겠습니다. 쌩유~,회사 응답 없음
2023-09-18,공모주일정,1.0,로딩이 안돼요 제발 서버관리좀 하세요 #### 아니 뭔가 업데이트를했는지 앱을 실행하기전까지 안오던 알림들이 앱을 실행하니까 한꺼번에 오네요 ㅋㅋㅋㅋ 이게 무슨 알리미 어플. 지우고 다른 어플 찾으러 갑니다~,"해당 부분이 개선되고, 달력으로 공모주 일정보기등등 기능도 업그레이드된 최신버전으로 업데이트하시어 사용을 부탁드려요. 사용에 불편을 드려 죄송해요."
2023-09-11,공모주일정,5.0,나같은 사람에겐 빛같은 어플이에욥!,회사 응답 없음
2023-09-11,공모주일정,1.0,뭔 광고를 적당히 해먹어야지,회사 응답 없음
2023-03-09,공모주일정,5.0,잘쓰고 있습니다. 감사합니다. 넘버원님의 블로그 주소가 2023년부터 바뀌었습니다. 링크를 바꿔주시면 좋겠네요.,회사 응답 없음
2023-02-01,공모주일정,3.0,아버지가 s22+ 휴대폰으로 사용중인데 어느순간부터 스크롤만 내리면 튕기는 증상이 지속적으로 일어나고 있습니다 수정 부탁드려요,회사 응답 없음
2026-01-30,공모러,1.0,안드로이드 업데이트해도 하단바가 자꾸 겹칩니다 버튼이 겹치니깐 입력을 할수가 없어요 하...툭하면 이러니깐 짜증이 납니다,"불편을 드려 죄송합니다. S9, S9+, 노트9 에서 동일 증상이 있다는 연락을 받았습니다. 공모러가 업데이트된 것은 없어서 안드로이드 문제로 보이는데 확인이 어렵네요.. 😭 문제 확인 및 수정이 되는대로 공지 드리겠습니다."
2026-01-06,공모러,5.0,해결! 찬양하라 공모러 갓벽한 공모러,"바로 해결되어 다행입니다! 감사합니다! 😆

이 문제는 기기 내 웹뷰 앱의 버그입니다.
공모러 앱 우상단에 확성기 버튼을 누르시면 공지사항이 나오는데요,
""🔧 버튼 겹쳐보이는 문제 해결 방법"" 참고하셔서 웹뷰를 업데이트 하시면 문제가 해결됩니다! 😀"
2025-12-31,공모러,5.0,있으면 좋겠는 거 다 있는 최고의 어플!! 주변에 추천 중입니다!!!,오우 25년 마지막 리뷰 였네요. 좋은 리뷰 &amp; 추천 감사합니다! 26년 새해 복 많이 받으세요! 😁
2025-12-22,공모러,4.0,잘쓰다가 갑자기 어플이 안열립니다. 재설치해도 똑같이 다시시도 표시만나옵니다. 해결부탁드려요.,"서비스는 당일 정상화 됐고 근본 원인 파악하여 해결 완료되었습니다! 감사합니다. 😂

서버가.. 다운됐습니다.. 😰
이런 일이 없었는데.. 불편을 드려 죄송합니다. 😭
금일 밤 늦게 조치가 가능할 듯 합니다.."
2025-12-22,공모러,5.0,오늘 설치했는데 접속이 안됩니다. 다시시도라고 뜨네요,"서비스는 당일 정상화 됐고 근본 원인 파악하여 해결 완료되었습니다! 감사합니다. 😂

서버가.. 다운됐습니다.. 😰
이런 일이 없었는데.. 불편을 드려 죄송합니다. 😭
금일 밤 늦게 조치가 가능할 듯 합니다..
"
2025-12-22,공모러,3.0,1. 인터넷 브라우저에서 클릭해도 열리지 않음. 2. 앱 제거 후 재다운로드 해도 열리지 않음. 계속 하얀 화면만 나오고 다시 시도하라는 문구 보임. 해결방법 알려주세요,"서비스는 당일 정상화 됐고 근본 원인 파악하여 해결 완료되었습니다! 감사합니다. 😂

헉.. 서버가.. 다운됐습니다.. 😰
금일 밤 늦게 조치가 가능할 듯 합니다..
불편을 드려 죄송합니다. 😭"
2025-12-20,공모러,4.0,앱이보기편하고 좋네요,"리뷰 감사합니다.
점점 더 개선하고 있어요! 😀"
2025-12-19,공모러,5.0,정말좋고 너무편해요 일정뿐아니라 단계적 체크하는 기능덕분에 공모주관리 수월합니다 감사합니다!,"좋은 리뷰 감사합니다!
공모주 투자하면서 힘들었던 점들, 사용자 분들이 제안해주신 부분들을 개선하면서 점점 더 편해지고 있어요! 😀"
2025-12-18,공모러,5.0,내 공모주를 모두볼수 있어서 너무 좋아요,"좋은 리뷰 감사합니다!
성투하세요! 😆"
2025-12-17,공모러,5.0,사용하기 편리해요~,"좋은 리뷰 감사합니다! 😀
계속해서 기능 개선 작업 진행하고 있어요!"
2025-12-15,공모러,5.0,"너무 편한 어플이라 주변에 다 추천하고 있습니다!!! 1가지 질문이 있는데, 비용에 공모가는 따로 넣을수가 없나요? 수익-비용에 나오는 가격은 공모가는 비용에 포함안되서 순수익이 안나오는것 같습니다","추천 감사합니다! 😆

문의 주신 수익계산 관련,
입력 방식이 두가지 입니다. 1. 실현손익 2. 매도가 인데요, 실현손익으로 입력하신 것 같고, 매도가로 변경하시면 되겠습니다.

변경은 수익 입력 팝업에 설정 아이콘을 눌러서 가능합니다. 혹시 해결이 안되시면 카톡으로 문의 주세용~~"
2025-12-12,공모러,5.0,광고 보면 3일 광고 제거되는 기능 혁신적이네요. 전체적인 화면 구성은 클래식하지만 써 본 앱들 중에 제일 좋습니다.,"좋은 리뷰 감사합니다! 😆
앱 무료 운영과 지속적인 개발을 위해 광고를 달았지만 돈안쓰고 광고 안볼 수 있는 방법을 제공하고 싶었어요 😀
앞으로도 성투하세요!"
2025-12-11,공모러,5.0,공모러들의 필수앱! 사용한지 이제 한달됐는데 펀해요 감사합니다 🥰,"
좋은 리뷰 감사합니다!
요새 괜찮은 공모주가 많아서 좋네요. 😀
성투하세요!"
